Status NonTNBC1 NonTNBC2 NonTNBC3 Normal1 Normal2 Normal3 TNBC1 TNBC2 TNBC3									
									
Assigned	39423364	22401672	24042961	23752739	50718414	60794335	20822900	17151289	18833989
Unassigned_Unmapped	14344672	11857048	13265450	1109148	2494454	2540701	9094732	12156185	13517815
Unassigned_Read_Type	0	0	0	0	0	0	0	0	0
Unassigned_Singleton	0	0	0	0	0	0	0	0	0
Unassigned_MappingQuality	0	0	0	0	0	0	0	0	0
Unassigned_Chimera	0	0	0	0	0	0	0	0	0
Unassigned_FragmentLength	0	0	0	0	0	0	0	0	0
Unassigned_Duplicate	0	0	0	0	0	0	0	0	0
Unassigned_MultiMapping	218327721	205411893	218196308	8412379	12704648	10003024	131746563	204984766	208987172
Unassigned_Secondary	0	0	0	0	0	0	0	0	0
Unassigned_NonSplit	0	0	0	0	0	0	0	0	0
Unassigned_NoFeatures	18497535	19696684	21747405	1820249	4649833	3068198	27244212	14255839	15160199
Unassigned_Overlapping_Length	0	0	0	0	0	0	0	0	0
Unassigned_Ambiguity	5989623	2964882	2980584	2498595	4318383	4845169	2247721	2206438	2063127
